f,s,d,N,pi_s,K,theta,w_p,w_e,v
1,1,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,2,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,3,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,4,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,5,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,6,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,7,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,8,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,9,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
1,10,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
2,1,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,2,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,3,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,4,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,5,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,6,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,7,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,8,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,9,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
2,10,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.92079226315353,[0.03468003 0.02484876 0.0101727  0.93029851]
3,1,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,2,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,3,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,4,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,5,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,6,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,7,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,8,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,9,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
3,10,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
4,1,9,10000,1.0,2,0.2413460612686031,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
4,2,9,10000,1.0,2,0.2413460612686031,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
4,3,9,10000,1.0,2,0.2413460612686031,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
4,4,9,10000,1.0,2,0.2413460612686031,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
4,5,9,10000,1.0,2,0.2413460612686031,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
