f,d,N,pi_s,K,theta,w_p,w_e,v
1,9,10000,1.0,4,0.2673724553132856,0.7201823243410136,0.8084192574184811,[0.17395813 0.68206135 0.03813542 0.1058451 ]
2,9,10000,1.0,4,0.6419119327827196,0.5103543026016205,0.9207922631535301,[0.03468003 0.02484876 0.0101727  0.93029851]
3,9,10000,1.0,6,0.6129861596699093,0.4741523228899338,0.8356153740513678,[0.39666262 0.02149468 0.43280679 0.01236672 0.05960282 0.07706637]
4,9,10000,1.0,2,0.24134606126860314,0.6729720667460496,0.8542929884720799,[0.678425 0.321575]
5,9,10000,1.0,1,0.08800970185253798,0.710591294751352,0.9160459020513053,[1.]
6,9,10000,1.0,4,0.6664376303055978,0.43710093499040137,0.8304298212889908,[0.34438323 0.24749246 0.30949197 0.09863234]
7,9,10000,1.0,1,0.6176337392103495,0.17964434635762813,0.8492522448172157,[1.]
8,9,10000,1.0,4,0.3056949415460136,0.26638292790469476,0.7743766437453394,[0.45152901 0.04469681 0.38923057 0.11454361]
9,9,10000,1.0,4,0.5462215105866872,0.6567485298722363,0.7960241820490809,[0.43606551 0.05849549 0.23698491 0.26845408]
10,9,10000,1.0,4,0.7400010308520214,0.9469675535592197,0.9012890486642634,[0.30291367 0.02903382 0.5920924  0.0759601 ]
11,9,10000,1.2,2,0.3686792110868664,0.8126508615593767,0.8144126557085956,[0.30780254 0.69219746]
12,9,10000,1.2,1,0.6002616857382284,0.8028669854593173,0.9320797601642532,[1.]
13,9,10000,1.2,1,0.9787634492125115,0.360865029747281,0.8430228278631503,[1.]
14,9,10000,1.2,2,0.147183082538223,0.9585792908311663,0.8838958129214696,[0.8716345 0.1283655]
15,9,10000,1.2,4,0.7143700281286642,0.2611288765825963,0.7757959176597038,[0.46277751 0.16261392 0.3000073  0.07460128]
16,9,10000,1.2,4,0.3265054802584779,0.0314591494065515,0.7651468723869014,[0.31344443 0.41968526 0.00462653 0.26224377]
17,9,10000,1.2,2,0.2758399036213476,0.17347683351188822,0.8770510789057296,[0.25271377 0.74728623]
18,9,10000,1.2,6,0.030348227025267627,0.6172463721574221,0.8761469976561587,[0.07737915 0.26512004 0.11490262 0.11297752 0.09691749 0.33270318]
19,9,10000,1.2,1,0.4143608680730563,0.8573753367790369,0.882844264146526,[1.]
20,9,10000,1.2,6,0.5787895006932983,0.8486197433506922,0.935940236774822,[0.00487147 0.5612331  0.18999835 0.06291866 0.11391906 0.06705937]
21,9,10000,1.4,2,0.8465282430950238,0.37174429821947086,0.8227829690422017,[0.63218077 0.36781923]
22,9,10000,1.4,2,0.32927642917687816,0.9758514607403752,0.7900041942564102,[0.98688498 0.01311502]
23,9,10000,1.4,2,0.1274740104891181,0.9252598396415822,0.8599729932677578,[0.43005647 0.56994353]
24,9,10000,1.4,4,0.2560357330063403,0.4051236467728135,0.92031001244811,[0.33170791 0.11032523 0.08742935 0.47053751]
25,9,10000,1.4,1,0.9977252496275449,0.4754102876078394,0.8441841022645457,[1.]
26,9,10000,1.4,4,0.6376521470936432,0.3290097809873232,0.8184190694338794,[0.05388683 0.16931798 0.63430068 0.14249451]
27,9,10000,1.4,6,0.15106902431745828,0.16896350416081837,0.8241218351718789,[0.25189959 0.13389039 0.1253401  0.01754496 0.00834286 0.4629821 ]
28,9,10000,1.4,1,0.23627407520277421,0.2525009805207299,0.752265112341913,[1.]
29,9,10000,1.4,6,0.9406085543119467,0.05410643143798471,0.8308093198927342,[0.15161983 0.31476453 0.13078359 0.11508349 0.13733919 0.15040938]
30,9,10000,1.4,1,0.3697123578193632,0.8763614888517522,0.7860546476527295,[1.]
31,9,10000,1.6,2,0.22135754594641144,0.22081946988145915,0.928943980641861,[0.74872094 0.25127906]
32,9,10000,1.6,1,0.5380791811244354,0.08681598470231518,0.8151909267389615,[1.]
33,9,10000,1.6,2,0.8211193412184197,0.23787273742615236,0.7773875769497652,[0.63053477 0.36946523]
34,9,10000,1.6,6,0.8439634544834447,0.6522125671769905,0.8575617284536169,[0.0991992  0.07219646 0.14576984 0.44466529 0.19802562 0.0401436 ]
35,9,10000,1.6,2,0.10865065155242859,0.4500012466929212,0.9417334476140482,[0.48146404 0.51853596]
36,9,10000,1.6,4,0.090167684746156,0.8834924538815704,0.8077260745539627,[0.56176677 0.06178012 0.20600546 0.17044764]
37,9,10000,1.6,4,0.6733229029904457,0.09661890409567278,0.8748988019302206,[0.19642578 0.28654141 0.30003371 0.2169991 ]
38,9,10000,1.6,2,0.552053634703754,0.10118681627995242,0.7771000825731154,[0.40263346 0.59736654]
39,9,10000,1.6,2,0.4559000697918161,0.47315988478653875,0.9223305117437051,[0.48279915 0.51720085]
40,9,10000,1.6,1,0.13053211806195308,0.2936120359094597,0.7772880611897807,[1.]
41,9,10000,1.8,1,0.8676151733568861,0.7648235131880606,0.7942979138934307,[1.]
42,9,10000,1.8,6,0.9823933486569173,0.5434176034528599,0.8525320058150363,[0.06382777 0.06365781 0.32342359 0.03874817 0.1071275  0.40321516]
43,9,10000,1.8,4,0.7220780104721986,0.6529153807313116,0.9365354874803499,[0.01144455 0.37895801 0.08924018 0.52035726]
44,9,10000,1.8,4,0.4873563740645429,0.6440221062424162,0.7736611117197021,[0.11272114 0.16732237 0.40664725 0.31330924]
45,9,10000,1.8,1,0.7101816058137262,0.18061564434249652,0.761800672085082,[1.]
46,9,10000,1.8,1,0.27273472134305266,0.647097294631152,0.7622653320216964,[1.]
47,9,10000,1.8,2,0.8916732791534087,0.8217480020656649,0.940220460162315,[0.1651209 0.8348791]
48,9,10000,1.8,4,0.30656729788722004,0.23812086281040262,0.8787706508524773,[0.20166246 0.39881868 0.29345812 0.10606073]
49,9,10000,1.8,4,0.815363273919016,0.07807548535767916,0.9340953853935637,[0.74740935 0.13944478 0.03237329 0.08077258]
50,9,10000,1.8,6,0.43791088728603056,0.36634237342646553,0.9431191253278598,[0.4093403  0.34872259 0.09578472 0.12881426 0.00997833 0.0073598 ]
51,10,10000,1.0,2,0.49890452648704875,0.14721922675397245,0.9185899899094407,[0.0249519 0.9750481]
52,10,10000,1.0,2,0.015272383015006774,0.11493957495930533,0.7724671579768712,[0.2951032 0.7048968]
53,10,10000,1.0,1,0.7506423254047219,0.8801104544377713,0.9443921343961988,[1.]
54,10,10000,1.0,5,0.7792111147915388,0.18016067007307737,0.7614216493050922,[0.28787662 0.28374088 0.41447647 0.0111716  0.00273443]
55,10,10000,1.0,7,0.7806252473267065,0.8128223955637242,0.851068989493516,"[0.04064508 0.41862052 0.20533201 0.1687441  0.00999691 0.14124235
 0.01541903]"
56,10,10000,1.0,7,0.8812663562763943,0.8292323043814722,0.940161532406073,"[0.23586844 0.22278122 0.05321192 0.28052777 0.00115762 0.06370093
 0.1427521 ]"
57,10,10000,1.0,5,0.3099406051070487,0.15417307285340304,0.7867115612844434,[0.13954325 0.07363306 0.43695943 0.17515112 0.17471313]
58,10,10000,1.0,2,0.8462140358981964,0.2874802836986664,0.750158411548965,[0.40718111 0.59281889]
59,10,10000,1.0,7,0.011367487102013185,0.4324418034897284,0.8393295321731711,"[0.11475842 0.32768205 0.32003622 0.01256726 0.12751996 0.08654188
 0.01089421]"
60,10,10000,1.0,7,0.47384704728743277,0.26639058204585586,0.8179398170318022,"[0.09012309 0.05836508 0.0400946  0.08211809 0.6774745  0.01270997
 0.03911467]"
61,10,10000,1.2,1,0.019955054611317302,0.5528264574701495,0.9001876113869738,[1.]
62,10,10000,1.2,5,0.5511465615420199,0.290902146333572,0.9105331623970339,[0.01568102 0.21449312 0.20098708 0.25800319 0.3108356 ]
63,10,10000,1.2,2,0.7895322113722684,0.5996422933671829,0.8195445253888806,[0.98489554 0.01510446]
64,10,10000,1.2,1,0.1135620088170044,0.14372324668544637,0.7997344489600471,[1.]
65,10,10000,1.2,2,0.10053929805268302,0.7224985749191833,0.8113758898432333,[0.07562914 0.92437086]
66,10,10000,1.2,2,0.6016392655671655,0.6377613157733734,0.8843717961582244,[0.82103132 0.17896868]
67,10,10000,1.2,1,0.6017716916921911,0.49771664681761557,0.8508342568196282,[1.]
68,10,10000,1.2,7,0.175144413486083,0.30640054424050067,0.9396664335285079,"[0.23487591 0.22001328 0.0974955  0.28978378 0.07788444 0.04641285
 0.03353423]"
69,10,10000,1.2,2,0.3747510564387623,0.08253325515637507,0.9272619346740953,[0.12047441 0.87952559]
70,10,10000,1.2,2,0.7129059609014053,0.31885436870792705,0.7900621270751653,[0.88381768 0.11618232]
71,10,10000,1.4,5,0.11375550916531141,0.0964996379637712,0.8189048675208143,[0.1483985  0.34411068 0.30601757 0.17843175 0.02304151]
72,10,10000,1.4,7,0.7509744902773128,0.5195346599780591,0.8708122868235811,"[0.18346785 0.20931466 0.00471065 0.19626881 0.18152022 0.12124381
 0.103474  ]"
73,10,10000,1.4,5,0.16559972469210915,0.8328698375291309,0.8269879608747741,[0.15263693 0.15421307 0.12135649 0.54859471 0.0231988 ]
74,10,10000,1.4,2,0.5972979319494242,0.3955240696797897,0.8471476945255858,[0.26842653 0.73157347]
75,10,10000,1.4,1,0.40090248727843203,0.3842393375317161,0.920099976172396,[1.]
76,10,10000,1.4,5,0.6783339576102004,0.970070604391638,0.8502013345548534,[0.19101862 0.16082234 0.08038181 0.54299462 0.02478261]
77,10,10000,1.4,2,0.9871588158540466,0.3338004287653321,0.9255338790624186,[0.27584306 0.72415694]
78,10,10000,1.4,7,0.12421811331629329,0.6831941881611172,0.8124110512142986,"[0.02477808 0.32474279 0.00408431 0.07335104 0.05874492 0.37608077
 0.13821809]"
79,10,10000,1.4,7,0.6450592414675858,0.48920736622429384,0.7595633323145353,"[1.48505449e-01 7.74709547e-02 2.56700263e-01 1.44050665e-05
 9.65461629e-02 3.21658567e-01 9.91041986e-02]"
80,10,10000,1.4,7,0.9538986233010669,0.40637300634527396,0.9242381149274476,"[0.18259319 0.22885864 0.06336481 0.07734434 0.26984233 0.04276898
 0.13522771]"
81,10,10000,1.6,1,0.9022145669962611,0.8883413213086452,0.8272883786090879,[1.]
82,10,10000,1.6,7,0.3222663251792248,0.09587436867210722,0.8344046259932688,"[0.01700776 0.11904578 0.09879851 0.02607669 0.18596286 0.23936487
 0.31374353]"
83,10,10000,1.6,2,0.09718409400117212,0.6525591135096442,0.8899606519126678,[0.33373094 0.66626906]
84,10,10000,1.6,1,0.9368963381166423,0.39154640549877884,0.7779534776131418,[1.]
85,10,10000,1.6,1,0.9020435523959334,0.9838480949402497,0.784658200641859,[1.]
86,10,10000,1.6,7,0.7690763386678018,0.368817277744505,0.8368349924454774,"[5.96499017e-01 7.65070124e-03 7.74461606e-02 2.14525823e-02
 3.42142172e-05 2.30164588e-01 6.67527367e-02]"
87,10,10000,1.6,7,0.6523940181843436,0.5319654732874273,0.8578801558576838,"[0.0745317  0.19551413 0.03573746 0.19722839 0.43736744 0.00371514
 0.05590573]"
88,10,10000,1.6,7,0.4030750002043192,0.6934584240478523,0.8586867797678847,"[0.41789089 0.21846041 0.0030953  0.05354058 0.23907029 0.0176953
 0.05024724]"
89,10,10000,1.6,7,0.9816331090116663,0.14349680086762626,0.9205451508907795,"[0.14760026 0.11833664 0.02841131 0.29956638 0.08892955 0.07906604
 0.23808982]"
90,10,10000,1.6,5,0.18663239370248885,0.0390646403265676,0.8813366443438871,[0.35812848 0.01234953 0.42758004 0.0523082  0.14963376]
91,10,10000,1.8,7,0.471668648241367,0.6006710643443254,0.8363242378777108,"[0.15184945 0.16650177 0.13676632 0.28750199 0.17325724 0.06976494
 0.01435829]"
92,10,10000,1.8,1,0.5000832418188906,0.6505548070465123,0.9268642100809942,[1.]
93,10,10000,1.8,7,0.9904491946846946,0.04995781050464724,0.7914881053147645,"[0.03858229 0.10015023 0.31032796 0.08708904 0.22159068 0.12788579
 0.114374  ]"
94,10,10000,1.8,2,0.1654460052264518,0.8923444220107841,0.7940483421356528,[0.26856479 0.73143521]
95,10,10000,1.8,7,0.13885146162723638,0.9342411378340808,0.8292654776931303,"[0.05259433 0.18371917 0.01181045 0.16185281 0.37547196 0.14462394
 0.06992733]"
96,10,10000,1.8,7,0.24441112194993575,0.01066688982335385,0.8071572022900585,"[0.17117611 0.4828636  0.10158356 0.06339385 0.01939334 0.07330428
 0.08828526]"
97,10,10000,1.8,1,0.1526621261664426,0.6136984946212316,0.7501430216644902,[1.]
98,10,10000,1.8,1,0.9675231285382634,0.5306196838737078,0.8814245362920256,[1.]
99,10,10000,1.8,2,0.27308677177011353,0.9177665667273109,0.9389865686018777,[0.80598694 0.19401306]
100,10,10000,1.8,7,0.29032532301613445,0.4655844024033509,0.9243611034244644,"[0.08749755 0.33330834 0.05715114 0.01186839 0.23622758 0.05850357
 0.21544343]"
101,10,20000,1.0,1,0.7490072727155511,0.0925322454354103,0.8581718852733481,[1.]
102,10,20000,1.0,2,0.633861128721954,0.47181217251822716,0.9320199760903929,[0.09795655 0.90204345]
103,10,20000,1.0,1,0.035866077365977134,0.529254467539345,0.8915285675649655,[1.]
104,10,20000,1.0,5,0.06505193844955881,0.5053375643780827,0.7923631845150151,[0.41536184 0.00961629 0.00960957 0.18802408 0.37738821]
105,10,20000,1.0,2,0.5184668138440635,0.4564739656812336,0.7686740247388497,[0.97292436 0.02707564]
106,10,20000,1.0,1,0.226780627052537,0.07737503520725797,0.9061204262518129,[1.]
107,10,20000,1.0,1,0.9625383299535487,0.4034459182892512,0.8165177260911989,[1.]
108,10,20000,1.0,2,0.6396704764986514,0.17925990452860263,0.937595953035129,[0.47865466 0.52134534]
109,10,20000,1.0,1,0.42826158748135945,0.22211997382681256,0.7695468987699299,[1.]
110,10,20000,1.0,5,0.4007020124921017,0.6180472758722875,0.8916318609111091,[0.0692288  0.10388121 0.02084318 0.04244622 0.7636006 ]
111,10,20000,1.2,2,0.7915209990786378,0.9479913235858342,0.808709088470344,[0.99279713 0.00720287]
112,10,20000,1.2,5,0.14999340444278075,0.6324627306826994,0.80491890447085,[0.08201202 0.00395885 0.07153752 0.78572633 0.05676527]
113,10,20000,1.2,2,0.21113857981122797,0.8576552018392397,0.768977085780604,[0.35309059 0.64690941]
114,10,20000,1.2,7,0.43891026556927837,0.7649807753162451,0.8071530353857467,"[0.11123783 0.3312926  0.02024359 0.21194008 0.00416044 0.19051063
 0.13061483]"
115,10,20000,1.2,2,0.10407687782351205,0.9734099525423471,0.9289270423939189,[0.22474497 0.77525503]
116,10,20000,1.2,7,0.8001575934476076,0.2990633201668044,0.7584690990073242,"[0.00382456 0.29443017 0.05888475 0.1998887  0.23844663 0.14794435
 0.05658085]"
117,10,20000,1.2,2,0.29445808493616166,0.1159262607516417,0.9082936213591528,[0.6836142 0.3163858]
118,10,20000,1.2,1,0.6577370235946859,0.43981201619833726,0.9205571690709501,[1.]
119,10,20000,1.2,1,0.6276963485090916,0.7380427141693129,0.8165773169217786,[1.]
120,10,20000,1.2,2,0.277882632223307,0.49967366367112703,0.8028829930321477,[0.69659888 0.30340112]
121,10,20000,1.4,7,0.35102565200004354,0.17971280812741214,0.9265231025096586,"[0.25087911 0.17392615 0.0106852  0.07224218 0.04679905 0.39092231
 0.054546  ]"
122,10,20000,1.4,7,0.8837510287177134,0.4318572673236865,0.7513510095395802,"[0.08806793 0.33014513 0.14574824 0.15808058 0.0113005  0.06998147
 0.19667615]"
123,10,20000,1.4,1,0.8685023007819533,0.9027581442486373,0.8236126509337449,[1.]
124,10,20000,1.4,1,0.42583485061137205,0.1208107728974604,0.77376281096251,[1.]
125,10,20000,1.4,1,0.20336759411957606,0.5010163957581439,0.8250052460606738,[1.]
126,10,20000,1.4,1,0.061806937788829064,0.854999312563726,0.8489769945710799,[1.]
127,10,20000,1.4,2,0.6246958898647534,0.37911589886504593,0.825613957776614,[0.97020819 0.02979181]
128,10,20000,1.4,5,0.317642602428408,0.40986086779823405,0.8139876273254724,[0.27166551 0.3397989  0.22775073 0.07774015 0.08304471]
129,10,20000,1.4,5,0.7562763201357001,0.3525771449126493,0.8969267850308104,[0.13775404 0.07170253 0.19273839 0.1103637  0.48744134]
130,10,20000,1.4,5,0.9182316566521184,0.3442084905631027,0.8067630765234762,[0.43910482 0.16271545 0.04053087 0.14927605 0.20837281]
131,10,20000,1.6,1,0.730732444234683,0.2659196101136993,0.9038211802728633,[1.]
